30-Oct-2015 07:55:31 CDT  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
30-Oct-2015 07:55:32 CDT  Successfully opened file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 30-Oct-2015 07:55:37.549 CDT

[ParticleListDrawer] analysing particle collection genParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
  284 |    21 -          g | 51 |  274  274  294  294 |  1  1 |   0.200      0.136 -2.545 |     -0.166     -0.113      0.027    0.000 |
  285 |    21 -          g | 52 |  277  277  291  291 |  1  1 | 150.872     -2.334  1.502 |     10.371    150.515   -770.945    0.000 |
  286 |    21 -          g | 51 |  283  283  304  305 |  1  2 |  39.773     -2.347  2.206 |    -23.589     32.023   -205.974   -0.000 |
  287 |    21 -          g | 51 |  283  283  333  333 |  1  1 |  42.824     -2.437  2.029 |    -18.958     38.399   -243.146    0.000 |
  288 |    21 -          g | 52 |  275  275  310  311 |  1  2 |  59.409     -1.560  2.063 |    -28.084     52.352   -135.119   -0.000 |
  289 |    21 -          g | 51 |  280  280  313  314 |  1  2 |  40.451     -2.474  1.549 |      0.867     40.442   -238.328   -0.000 |
  290 |    21 -          g | 51 |  280  280  318  318 |  1  1 |  78.745     -2.407  1.558 |      1.017     78.738   -433.338   -0.000 |
  291 |    21 -          g | 52 |  285  285  292  293 |  1  2 | 141.429     -2.334  1.502 |      9.721    141.094   -722.691    0.000 |
  292 |    21 -          g | 51 |  291  291  316  317 |  1  2 | 130.816     -2.341  1.505 |      8.628    130.531   -673.386    0.000 |
  293 |    21 -          g | 51 |  291  291  343  344 |  1  2 |  10.614     -2.240  1.468 |      1.086     10.558    -49.304    0.000 |
  294 |    21 -          g | 52 |  284  284  306  306 |  1  1 |   0.192      0.136 -2.545 |     -0.159     -0.108      0.026    0.000 |
  295 |    21 -          g | 51 |  282  282  298  299 |  1  2 |  37.318     -1.975  2.006 |    -15.743     33.835   -131.844   -0.000 |
  296 |    21 -          g | 51 |  282  282  301  302 |  1  2 |   5.595     -1.796  1.687 |     -0.647      5.557    -16.393   -0.000 |
  297 |    -5 -       bbar | 52 |  273  273  550  550 |  1  1 |  97.297     -1.722  1.375 |     18.907     95.442   -263.610    4.800 |
  298 |    21 -          g | 51 |  295  295  303  303 |  1  1 |  33.753     -1.958  2.024 |    -14.774     30.348   -117.145   -0.000 |
  299 |    21 -          g | 51 |  295  295  309  309 |  1  1 |   4.852     -2.200  1.733 |     -0.782      4.788    -21.614    0.000 |
  300 |    21 -          g | 52 |  281  281  307  308 |  1  2 |  66.031     -2.363  1.428 |      9.387     65.361   -347.467    0.000 |
  301 |    21 -          g | 51 |  296  296  549  549 |  1  1 |   2.916     -1.741  1.565 |      0.016      2.916     -8.059   -0.000 |
  302 |    21 -          g | 51 |  296  296  548  548 |  1  1 |  10.816     -1.933  1.972 |     -4.225      9.957    -36.576    0.000 |
  303 |    21 -          g | 52 |  298  298  547  547 |  1  1 |  25.616     -1.958  2.024 |    -11.213     23.032    -88.904    0.000 |
  304 |    21 -          g | 51 |  286  286  529  529 |  1  1 |  22.636     -2.310  2.231 |    -13.880     17.881   -112.853   -0.000 |
  305 |    21 -          g | 51 |  286  286  321  321 |  1  1 |  17.154     -2.393  2.173 |     -9.716     14.137    -93.120   -0.000 |
  306 |    21 -          g | 52 |  294  294  319  320 |  1  2 |   0.183      0.136 -2.545 |     -0.152     -0.103      0.025    0.000 |
  307 |    21 -          g | 51 |  300  300  315  315 |  1  1 |  52.855     -2.358  1.414 |      8.258     52.206   -276.864   -0.000 |
  308 |    21 -          g | 51 |  300  300  334  335 |  1  2 |  13.844     -2.372  1.497 |      1.022     13.807    -73.548    0.000 |
  309 |    21 -          g | 52 |  299  299  336  336 |  1  1 |   4.191     -2.200  1.733 |     -0.676      4.136    -18.669   -0.000 |
  310 |    21 -          g | 51 |  288  288  331  332 |  1  2 |  28.479     -1.567  2.094 |    -14.222     24.673    -65.255    0.000 |
  311 |    21 -          g | 51 |  288  288  322  323 |  1  2 |  30.910     -1.552  2.036 |    -13.869     27.624    -69.706   -0.000 |
  312 |     6 -          t | 52 |  276  276  324  324 |  1  1 | 353.463     -1.364  2.287 |   -232.031    266.641   -645.912  171.714 |
  313 |    21 -          g | 51 |  289  289  339  339 |  1  1 |  33.535     -2.459  1.566 |      0.175     33.534   -194.535    0.000 |
  314 |    21 -          g | 51 |  289  289  342  342 |  1  1 |  10.791     -2.480  1.451 |      1.294     10.713    -63.974   -0.000 |
  315 |    21 -          g | 52 |  307  307  396  396 |  1  1 |  49.003     -2.358  1.414 |      7.656     48.401   -256.683   -0.000 |
  316 |    21 -          g | 51 |  292  292  537  537 |  1  1 |  93.770     -2.337  1.498 |      6.783     93.525   -480.715    0.000 |
  317 |    21 -          g | 51 |  292  292  538  538 |  1  1 |  41.862     -2.358  1.525 |      1.908     41.819   -219.158    0.000 |
  318 |    21 -          g | 52 |  290  290  337  338 |  1  2 |  73.932     -2.407  1.558 |      0.955     73.926   -406.852    0.000 |
  319 |    21 -          g | 51 |  306  306  327  327 |  1  1 |   0.850     -2.716  2.945 |     -0.834      0.166     -6.402    0.000 |
  320 |    21 -          g | 51 |  306  306  325  326 |  1  2 |   0.920     -1.174  1.711 |     -0.129      0.911     -1.346    0.000 |
  321 |    21 -          g | 52 |  305  305  330  330 |  1  1 |  15.722     -2.393  2.173 |     -8.905     12.957    -85.347   -0.000 |
  322 |    21 -          g | 51 |  311  311  525  525 |  1  1 |  28.036     -1.574  2.041 |    -12.693     24.998    -64.743   -0.000 |
  323 |    21 -          g | 51 |  311  311  524  524 |  1  1 |   2.658     -1.241  2.057 |     -1.242      2.350     -4.212   -0.000 |
  324 |     6 -          t | 52 |  312  312  348  348 |  1  1 | 353.627     -1.364  2.286 |   -231.965    266.917   -646.663  171.714 |
  325 |    21 -          g | 51 |  320  320  328  329 |  1  2 |   0.244     -0.711 -1.185 |      0.092     -0.226     -0.188   -0.000 |
  326 |    21 -          g | 51 |  320  320  533  533 |  1  1 |   1.441     -1.978  2.106 |     -0.735      1.240     -5.108   -0.000 |
  327 |    21 -          g | 52 |  319  319  345  345 |  1  1 |   0.326     -2.716  2.945 |     -0.319      0.063     -2.452    0.000 |
  328 |    21 -          g | 51 |  325  325  532  532 |  1  1 |   0.438     -1.630 -0.138 |      0.433     -0.060     -1.074    0.000 |
  329 |    21 -          g | 51 |  325  325  531  531 |  1  1 |   2.103     -2.267  2.352 |     -1.482      1.493    -10.041    0.000 |
  330 |    21 -          g | 52 |  321  321  530  530 |  1  1 |  13.709     -2.393  2.173 |     -7.765     11.298    -74.420    0.000 |
  331 |    21 -          g | 51 |  310  310  526  526 |  1  1 |  23.861     -1.546  2.076 |    -11.540     20.884    -53.427    0.000 |
  332 |    21 -          g | 51 |  310  310  527  527 |  1  1 |   4.828     -1.709  2.181 |     -2.765      3.958    -12.895   -0.000 |
  333 |    21 -          g | 52 |  287  287  528  528 |  1  1 |  42.636     -2.437  2.029 |    -18.875     38.230   -242.079    0.000 |
  334 |    21 -          g | 51 |  308  308  396  396 |  1  1 |   5.697     -2.383  1.415 |      0.887      5.627    -30.603   -0.000 |
  335 |    21 -          g | 51 |  308  308  545  545 |  1  1 |   9.475     -2.341  1.579 |     -0.076      9.475    -48.794    0.000 |
  336 |    21 -          g | 52 |  309  309  546  546 |  1  1 |   2.878     -2.200  1.733 |     -0.464      2.840    -12.820    0.000 |
  337 |    21 -          g | 51 |  318  318  539  539 |  1  1 |  33.054     -2.416  1.575 |     -0.154     33.053   -183.596    0.000 |
  338 |    21 -          g | 51 |  318  318  540  540 |  1  1 |  47.736     -2.408  1.547 |      1.145     47.722   -262.991    0.000 |
  339 |    21 -          g | 52 |  313  313  340  341 |  1  2 |  26.685     -2.459  1.566 |      0.139     26.685   -154.801    0.000 |
  340 |    21 -          g | 51 |  339  339  541  541 |  1  1 |  16.672     -2.449  1.519 |      0.867     16.649    -95.774   -0.000 |
  341 |    21 -          g | 51 |  339  339  542  542 |  1  1 |  13.761     -2.476  1.591 |     -0.279     13.758    -81.258    0.000 |
  342 |    21 -          g | 52 |  314  314  543  543 |  1  1 |   7.041     -2.480  1.451 |      0.844      6.990    -41.742    0.000 |
  343 |    21 -          g | 51 |  293  293  536  536 |  1  1 |   8.139     -2.294  1.505 |      0.538      8.121    -39.952    0.000 |
  344 |    21 -          g | 51 |  293  293  535  535 |  1  1 |   2.497     -2.077  1.374 |      0.488      2.449     -9.807   -0.000 |
  345 |    21 -          g | 52 |  327  327  534  534 |  1  1 |   0.265     -2.716  2.945 |     -0.260      0.052     -1.997   -0.000 |
  346 |    11 -         e- |  1 |  262  262   -1   -1 |  1  0 | 206.969     -0.561 -0.712 |    156.744   -135.156   -122.344    0.001 |
  347 |    22 -      gamma |  1 |  262  262   -1   -1 |  1  0 |   0.001     -0.469 -0.751 |      0.001     -0.001     -0.001    0.000 |
  348 |     6 -          t | 52 |  324  324  349  350 |  1  2 | 353.627     -1.364  2.286 |   -231.965    266.917   -646.663  171.714 |
  349 |    24 -         W+ | 22 |  348  348  353  353 |  1  1 | 156.592     -1.039  2.149 |    -85.538    131.165   -193.713   80.404 |
  350 |     5 -          b | 23 |  348  348  351  352 |  1  2 | 199.673     -1.558  2.394 |   -146.427    135.752   -452.950    4.800 |
  351 |     5 -          b | 51 |  350  350  356  356 |  1  1 | 195.663     -1.560  2.400 |   -144.256    132.190   -445.090    4.800 |
  352 |    21 -          g | 51 |  350  350  354  355 |  1  2 |   4.531     -1.267  2.076 |     -2.192      3.965     -7.403    0.000 |
  353 |    24 -         W+ | 52 |  349  349  363  364 |  1  2 | 156.242     -1.043  2.150 |    -85.517    130.761   -194.171   80.404 |
  354 |    21 -          g | 51 |  352  352  357  358 |  1  2 |   2.800     -1.111  2.183 |     -1.609      2.291     -3.790   -0.000 |
  355 |    21 -          g | 51 |  352  352  523  523 |  1  1 |   4.499     -1.551  2.213 |     -2.695      3.602    -10.127   -0.000 |
  356 |     5 -          b | 52 |  351  351  359  359 |  1  1 | 192.804     -1.560  2.400 |   -142.144    130.263   -438.576    4.800 |
  357 |    21 -          g | 51 |  354  354  522  522 |  1  1 |   2.581     -1.314  2.037 |     -1.160      2.306     -4.455   -0.000 |
  358 |    21 -          g | 51 |  354  354  360  361 |  1  2 |   2.479     -1.299  2.528 |     -2.027      1.427     -4.206    0.000 |
  359 |     5 -          b | 52 |  356  356  362  362 |  1  1 | 190.666     -1.560  2.400 |   -140.567    128.820   -433.704    4.800 |
  360 |    21 -          g | 51 |  358  358  521  521 |  1  1 |   5.981     -1.401  2.407 |     -4.439      4.009    -11.398   -0.000 |
  361 |    21 -          g | 51 |  358  358  520  520 |  1  1 |   3.302     -1.660  2.479 |     -2.603      2.033     -8.367   -0.000 |
  362 |     5 -          b | 52 |  359  359  519  519 |  1  1 | 183.852     -1.560  2.400 |   -135.552    124.206   -418.145    4.800 |
  363 |    -1 -       dbar | 23 |  353  353  365  366 |  1  2 | 125.275     -1.141  1.947 |    -45.975    116.534   -176.139    0.330 |
  364 |     2 -          u | 23 |  353  353  367  367 |  1  1 |  42.023     -0.417  2.796 |    -39.542     14.227    -18.032    0.330 |
  365 |    -1 -       dbar | 51 |  363  363  380  381 |  1  2 |  56.863     -1.205  1.758 |    -10.598     55.867    -86.317    0.330 |
  366 |    21 -          g | 51 |  363  363  368  369 |  1  2 |  73.827     -1.044  2.139 |    -39.722     62.230    -91.802   -0.000 |
  367 |     2 -          u | 52 |  364  364  370  370 |  1  1 |  37.406     -0.417  2.796 |    -35.197     12.664    -16.051    0.330 |
  368 |    21 -          g | 51 |  366  366  374  375 |  1  2 |  61.182     -1.100  2.214 |    -36.716     48.941    -81.756    0.000 |
  369 |    21 -          g | 51 |  366  366  373  373 |  1  1 |  15.931     -0.677  1.991 |     -6.498     14.546    -11.638   -0.000 |
  370 |     2 -          u | 52 |  367  367  371  372 |  1  2 |  33.695     -0.417  2.796 |    -31.705     11.408    -14.459    0.330 |
  371 |     2 -          u | 51 |  370  370  377  378 |  1  2 |  29.394     -0.401  2.836 |    -28.035      8.831    -12.119    0.330 |
  372 |    21 -          g | 51 |  370  370  379  379 |  1  1 |   6.231     -0.572  2.369 |     -4.461      4.350     -3.759   -0.000 |
  373 |    21 -          g | 52 |  369  369  376  376 |  1  1 |  13.989     -0.677  1.991 |     -5.706     12.772    -10.219   -0.000 |
  374 |     2 -          u | 51 |  368  368  382  382 |  1  1 |  55.780     -1.110  2.188 |    -32.268     45.499    -75.427    0.330 |
  375 |    -2 -       ubar | 51 |  368  368  391  391 |  1  1 |   7.493     -0.913  2.354 |     -5.284      5.312     -7.826    0.330 |
  376 |    21 -          g | 52 |  373  373  388  388 |  1  1 |  11.940     -0.677  1.991 |     -4.870     10.901     -8.722   -0.000 |
  377 |     2 -          u | 51 |  371  371  392  393 |  1  2 |  30.570     -0.396  2.813 |    -28.932      9.874    -12.433    0.330 |
  378 |    21 -          g | 51 |  371  371  394  394 |  1  1 |   0.433     -1.332  2.651 |     -0.382      0.204     -0.763    0.000 |
  379 |    21 -          g | 52 |  372  372  386  387 |  1  2 |   4.446     -0.572  2.369 |     -3.183      3.104     -2.682    0.000 |
  380 |    -1 -       dbar | 51 |  365  365  430  430 |  1  1 |  52.861     -1.187  1.776 |    -10.754     51.756    -78.555    0.330 |
  381 |    21 -          g | 51 |  365  365  383  384 |  1  2 |   5.035     -1.369  1.667 |     -0.483      5.012     -9.256   -0.000 |
  382 |     2 -          u | 52 |  374  374  385  385 |  1  1 |  54.675     -1.110  2.188 |    -31.628     44.598    -73.933    0.330 |
  383 |    21 -          g | 51 |  381  381  429  429 |  1  1 |   7.036     -1.266  1.766 |     -1.362      6.903    -11.481   -0.000 |
  384 |    21 -          g | 51 |  381  381  428  428 |  1  1 |   0.740     -1.400  2.722 |     -0.676      0.302     -1.409   -0.000 |
  385 |     2 -          u | 52 |  382  382  427  427 |  1  1 |  51.987     -1.110  2.188 |    -30.073     42.406    -70.299    0.330 |
  386 |    21 -          g | 51 |  379  379  395  395 |  1  1 |   2.099     -0.916  2.355 |     -1.482      1.486     -2.202   -0.000 |
  387 |    21 -          g | 51 |  379  379  416  416 |  1  1 |   6.189     -0.520  2.136 |     -3.314      5.227     -3.368   -0.000 |
  388 |    21 -          g | 52 |  376  376  389  390 |  1  2 |   7.987     -0.677  1.991 |     -3.258      7.292     -5.835    0.000 |
  389 |    -3 -       sbar | 51 |  388  388  417  417 |  1  1 |   3.712     -0.837  2.232 |     -2.281      2.929     -3.482    0.500 |
  390 |     3 -          s | 51 |  388  388  410  412 |  1  3 |   6.384     -0.671  1.974 |     -2.506      5.872     -4.610    0.500 |
  391 |    -2 -       ubar | 52 |  375  375  410  412 |  1  3 |   5.345     -0.911  2.350 |     -3.756      3.803     -5.569    0.330 |
  392 |     2 -          u | 51 |  377  377  413  413 |  1  1 |  27.188     -0.387  2.828 |    -25.859      8.398    -10.791    0.330 |
  393 |    21 -          g | 51 |  377  377  414  414 |  1  1 |   3.507     -0.497  2.693 |     -3.159      1.522     -1.815   -0.000 |
  394 |    21 -          g | 52 |  378  378  395  395 |  1  1 |   0.335     -1.332  2.651 |     -0.295      0.158     -0.590    0.000 |
  395 |    21 -          g | 73 |  386  394  415  415 |  2  1 |   2.421     -0.986  2.395 |     -1.777      1.644     -2.792    0.430 |
  396 |    21 -          g | 73 |  315  334  544  544 |  2  1 |  54.699     -2.361  1.414 |      8.543     54.028   -287.286    0.415 |
  397 |    21 -          g | 73 |  221  252  478  478 |  2  1 |   1.315      4.375  2.520 |     -1.069      0.766     52.214    0.262 |
  398 |    21 -          g | 73 |  212  244  479  479 |  2  1 |   1.159      3.051 -1.539 |      0.037     -1.159     12.228    0.303 |
  399 |    21 -          g | 73 |  234  236  476  476 |  2  1 |   1.877      5.139 -2.091 |     -0.933     -1.629    160.044    0.346 |
  400 |     2 -          u | 73 |  231  255  472  472 |  2  1 |   0.592      7.036 -1.426 |      0.086     -0.586    336.666    0.730 |
  401 |    21 -          g | 73 |  232  233  473  473 |  2  1 |   1.906      5.921 -1.020 |      0.997     -1.625    355.476    0.487 |
  402 |    21 -          g | 73 |  235  243  403  403 |  2  1 |   0.617      2.002  1.336 |      0.144      0.600      2.245    0.092 |
  403 |    21 -          g | 73 |  246  402  624  624 |  2  1 |   0.730      2.054  1.108 |      0.325      0.653      2.799    0.366 |
  404 |    21 -          g | 73 |  196  215  628  628 |  2  1 |   2.720     -3.398  0.488 |      2.403      1.275    -40.640    0.493 |
  405 |    21 -          g | 73 |  199  237  446  446 |  2  1 |   0.572      2.472 -2.351 |     -0.403     -0.407      3.366    0.038 |
  406 |    21 -          g | 73 |  213  253  450  450 |  2  1 |   1.465      0.117 -2.442 |     -1.121     -0.944      0.172    0.108 |
  407 |    21 -          g | 73 |  227  229  502  502 |  2  1 |   1.604      4.146  0.074 |      1.600      0.118     50.684    0.148 |
  408 |    21 -          g | 73 |  204  245  501  501 |  2  1 |   2.976      3.313  2.366 |     -2.125      2.083     40.796    0.517 |
  409 |    21 -          g | 73 |  238  250  503  503 |  2  1 |   2.383      4.665  0.187 |      2.342      0.442    126.469    0.567 |
  410 |   221 -        eta |  2 |  390  391  758  760 |  2  3 |   2.010     -0.678  2.205 |     -1.190      1.619     -1.470    0.548 |
  411 |  -323 -        K*- |  2 |  390  391  654  655 |  2  2 |   4.110     -0.772  2.043 |     -1.868      3.661     -3.500    0.885 |
  412 |   113 -       rho0 |  2 |  390  391  656  657 |  2  2 |   5.438     -0.851  2.201 |     -3.203      4.395     -5.210    1.001 |
  413 |     2 -          u | 71 |  392  392  418  426 |  1  9 |  27.188     -0.387  2.828 |    -25.859      8.398    -10.791    0.330 |
  414 |    21 -          g | 71 |  393  393  418  426 |  1  9 |   3.507     -0.497  2.693 |     -3.159      1.522     -1.815   -0.000 |
  415 |    21 -          g | 71 |  395  395  418  426 |  1  9 |   2.421     -0.986  2.395 |     -1.777      1.644     -2.792    0.430 |
  416 |    21 -          g | 71 |  387  387  418  426 |  1  9 |   6.189     -0.520  2.136 |     -3.314      5.227     -3.368   -0.000 |
  417 |    -3 -       sbar | 71 |  389  389  418  426 |  1  9 |   3.712     -0.837  2.232 |     -2.281      2.929     -3.482    0.500 |
  418 |   321 -         K+ |  1 |  413  417   -1   -1 |  5  0 |   6.721     -0.467  2.732 |     -6.165      2.676     -3.251    0.494 |
  419 |  -311 -      Kbar0 |  2 |  413  417  658  658 |  5  1 |   3.878     -0.363  2.914 |     -3.777      0.876     -1.437    0.498 |
  420 |  -211 -        pi- |  1 |  413  417   -1   -1 |  5  0 |   3.342     -0.356  2.837 |     -3.189      1.002     -1.217    0.140 |
  421 |   323 -        K*+ |  2 |  413  417  659  660 |  5  2 |   7.629     -0.458  2.789 |     -7.159      2.637     -3.617    0.816 |
  422 |  -321 -         K- |  1 |  413  417   -1   -1 |  5  0 |   7.225     -0.323  2.822 |     -6.859      2.272     -2.372    0.494 |
  423 |   211 -        pi+ |  1 |  413  417   -1   -1 |  5  0 |   2.937     -0.723  2.541 |     -2.423      1.660     -2.314    0.140 |
  424 |  -211 -        pi- |  1 |  413  417   -1   -1 |  5  0 |   2.224     -0.243  2.077 |     -1.079      1.944     -0.546    0.140 |
  425 |   221 -        eta |  2 |  413  417  761  763 |  5  3 |   4.141     -0.955  2.381 |     -2.998      2.856     -4.582    0.548 |
  426 |   321 -         K+ |  1 |  413  417   -1   -1 |  5  0 |   4.683     -0.587  2.196 |     -2.740      3.798     -2.911    0.494 |
  427 |     2 -          u | 71 |  385  385  431  436 |  1  6 |  51.987     -1.110  2.188 |    -30.073     42.406    -70.299    0.330 |
  428 |    21 -          g | 71 |  384  384  431  436 |  1  6 |   0.740     -1.400  2.722 |     -0.676      0.302     -1.409   -0.000 |
  429 |    21 -          g | 71 |  383  383  431  436 |  1  6 |   7.036     -1.266  1.766 |     -1.362      6.903    -11.481   -0.000 |
  430 |    -1 -       dbar | 71 |  380  380  431  436 |  1  6 |  52.861     -1.187  1.776 |    -10.754     51.756    -78.555    0.330 |
  431 |   211 -        pi+ |  1 |  427  430   -1   -1 |  4  0 |  36.474     -1.113  2.184 |    -20.987     29.832    -49.540    0.140 |
  432 |   111 -        pi0 |  2 |  427  430  764  765 |  4  2 |  10.690     -1.084  2.216 |     -6.425      8.544    -14.000    0.135 |
  433 |  2112 -         n0 |  1 |  427  430   -1   -1 |  4  0 |   9.384     -1.120  2.080 |     -4.571      8.195    -12.853    0.940 |
  434 |   111 -        pi0 |  2 |  427  430  766  767 |  4  2 |   1.348     -1.467  1.501 |      0.094      1.345     -2.768    0.135 |
  435 | -2112 -      nbar0 |  1 |  427  430   -1   -1 |  4  0 |   8.147     -1.222  1.804 |     -1.880      7.928    -12.631    0.940 |
  436 |   113 -       rho0 |  2 |  427  430  661  662 |  4  2 |  46.423     -1.199  1.768 |     -9.097     45.523    -69.952    0.792 |
  437 |     2 -          u | 71 |  209  209  452  471 |  1 20 |   1.518      1.708 -0.993 |      0.830     -1.271      4.049    0.330 |
  438 |    21 -          g | 71 |  214  214  452  471 |  1 20 |   0.911      1.282 -2.108 |     -0.466     -0.783      1.515    0.000 |
  439 |    21 -          g | 71 |  216  216  452  471 |  1 20 |   8.461      1.268 -1.540 |      0.264     -8.457     13.843    0.000 |
  440 |    21 -          g | 71 |  197  197  452  471 |  1 20 |  11.919      1.209 -1.420 |      1.793    -11.783     18.196    0.000 |
  441 |    21 -          g | 71 |  217  217  452  471 |  1 20 |  10.187      1.199 -1.531 |      0.405    -10.179     15.360    0.000 |
  442 |    21 -          g | 71 |  210  210  452  471 |  1 20 |   2.945      1.256 -1.771 |     -0.585     -2.886      4.753    0.000 |
  443 |    21 -          g | 71 |  207  207  452  471 |  1 20 |   0.382      2.667 -1.413 |      0.060     -0.377      2.737    0.000 |
  444 |    21 -          g | 71 |  194  194  452  471 |  1 20 |   2.405      0.881 -1.764 |     -0.462     -2.360      2.404   -0.000 |
  445 |    21 -          g | 71 |  222  222  452  471 |  1 20 |   1.320      1.459 -2.002 |     -0.552     -1.199      2.686    0.000 |
  446 |    21 -          g | 71 |  405  405  452  471 |  1 20 |   0.572      2.472 -2.351 |     -0.403     -0.407      3.366    0.038 |
  447 |    21 -          g | 71 |  208  208  452  471 |  1 20 |   0.708      1.816 -0.839 |      0.473     -0.527      2.120   -0.000 |
  448 |    21 -          g | 71 |  201  201  452  471 |  1 20 |   6.129      1.305 -1.468 |      0.632     -6.096     10.468    0.000 |
  449 |    21 -          g | 71 |  219  219  452  471 |  1 20 |   1.983      1.408 -1.838 |     -0.523     -1.912      3.809    0.000 |
  450 |    21 -          g | 71 |  406  406  452  471 |  1 20 |   1.465      0.117 -2.442 |     -1.121     -0.944      0.172    0.108 |
  451 |    -3 -       sbar | 71 |  228  228  452  471 |  1 20 |   1.453      1.772 -3.102 |     -1.452     -0.057      4.151    0.500 |
  452 |   323 -        K*+ |  2 |  437  451  663  664 | 15  2 |   1.363      1.832 -1.410 |      0.218     -1.346      4.149    0.884 |
  453 |  -323 -        K*- |  2 |  437  451  665  666 | 15  2 |   3.790      1.268 -1.504 |      0.255     -3.782      6.200    0.893 |
  454 |   213 -       rho+ |  2 |  437  451  667  668 | 15  2 |  12.598      1.227 -1.501 |      0.876    -12.567     19.632    0.914 |
  455 |  -211 -        pi- |  1 |  437  451   -1   -1 | 15  0 |   0.512      0.979 -1.249 |      0.162     -0.485      0.585    0.140 |
  456 |   223 -      omega |  2 |  437  451  768  770 | 15  3 |   9.006      1.294 -1.516 |      0.492     -8.993     15.185    0.789 |
  457 |   213 -       rho+ |  2 |  437  451  669  670 | 15  2 |   4.509      1.133 -1.495 |      0.342     -4.496      6.274    0.542 |
  458 |  -211 -        pi- |  1 |  437  451   -1   -1 | 15  0 |   1.125      1.432 -1.473 |      0.110     -1.120      2.221    0.140 |
  459 |   113 -       rho0 |  2 |  437  451  671  672 | 15  2 |   3.584      1.256 -1.758 |     -0.669     -3.521      5.783    1.213 |
  460 |  3222 -     Sigma+ |  1 |  437  451   -1   -1 | 15  0 |   1.640      1.834 -1.691 |     -0.197     -1.628      5.002    1.189 |
  461 | -3222 -  Sigmabar- |  1 |  437  451   -1   -1 | 15  0 |   1.817      1.260 -1.949 |     -0.671     -1.688      2.944    1.189 |
  462 |   213 -       rho+ |  2 |  437  451  673  674 | 15  2 |   2.747      1.586 -1.480 |      0.248     -2.736      6.427    0.822 |
  463 |   223 -      omega |  2 |  437  451  771  773 | 15  3 |   1.699      1.308 -1.367 |      0.343     -1.664      2.913    0.771 |
  464 |  -211 -        pi- |  1 |  437  451   -1   -1 | 15  0 |   1.667      1.407 -1.543 |      0.046     -1.666      3.198    0.140 |
  465 |   211 -        pi+ |  1 |  437  451   -1   -1 | 15  0 |   0.572      1.584 -1.430 |      0.080     -0.566      1.335    0.140 |
  466 |  -211 -        pi- |  1 |  437  451   -1   -1 | 15  0 |   1.038      1.032 -1.923 |     -0.359     -0.974      1.272    0.140 |
  467 |   211 -        pi+ |  1 |  437  451   -1   -1 | 15  0 |   0.129     -0.795  1.443 |      0.016      0.128     -0.113    0.140 |
  468 |   223 -      omega |  2 |  437  451  774  776 | 15  3 |   1.055      1.534 -2.307 |     -0.709     -0.782      2.333    0.787 |
  469 |   221 -        eta |  2 |  437  451  777  779 | 15  3 |   0.768      1.400 -1.901 |     -0.249     -0.727      1.462    0.548 |
  470 |   311 -         K0 |  2 |  437  451  675  675 | 15  1 |   0.732      1.279 -2.533 |     -0.601     -0.419      1.214    0.498 |
  471 |   333 -        phi |  2 |  437  451  780  781 | 15  2 |   0.866      1.381 -2.903 |     -0.841     -0.205      1.613    1.019 |
  472 |     2 -          u | 71 |  400  400  482  496 |  1 15 |   0.592      7.036 -1.426 |      0.086     -0.586    336.666    0.730 |
  473 |    21 -          g | 71 |  401  401  482  496 |  1 15 |   1.906      5.921 -1.020 |      0.997     -1.625    355.476    0.487 |
  474 |    21 -          g | 71 |  225  225  482  496 |  1 15 |   0.940      5.429 -1.559 |      0.011     -0.940    107.128    0.000 |
  475 |    21 -          g | 71 |  241  241  482  496 |  1 15 |   2.190      4.794 -1.365 |      0.448     -2.143    132.267   -0.000 |
  476 |    21 -          g | 71 |  399  399  482  496 |  1 15 |   1.877      5.139 -2.091 |     -0.933     -1.629    160.044    0.346 |
  477 |    21 -          g | 71 |  202  202  482  496 |  1 15 |   1.413      4.522 -2.122 |     -0.740     -1.203     64.986    0.000 |
  478 |    21 -          g | 71 |  397  397  482  496 |  1 15 |   1.315      4.375  2.520 |     -1.069      0.766     52.214    0.262 |
  479 |    21 -          g | 71 |  398  398  482  496 |  1 15 |   1.159      3.051 -1.539 |      0.037     -1.159     12.228    0.303 |
  480 |    21 -          g | 71 |  211  211  482  496 |  1 15 |   3.233      1.508 -1.487 |      0.270     -3.221      6.946    0.000 |
  481 |    -2 -       ubar | 71 |  203  203  482  496 |  1 15 |   1.814      1.016 -1.807 |     -0.424     -1.764      2.176    0.330 |
  482 |   223 -      omega |  2 |  472  481  782  784 | 10  3 |   1.364      6.175 -1.226 |      0.461     -1.284    327.758    0.789 |
